Date,Time
2019-08-09,0:31:18
2019-08-10,0:40:05
2019-08-11,0:29:13
2019-08-12,0:07:25
2019-08-13,0:09:50
2019-08-14,0:18:16
2019-08-15,0:32:09
2019-08-16,0:22:25
2019-08-17,0:35:01
2019-08-18,0:28:52
2019-08-19,0:11:30
2019-08-20,0:07:20
2019-08-21,0:22:17
2019-08-22,0:25:42
2019-08-23,0:19:55
2019-08-24,0:29:28
2019-08-25,0:58:02
2019-08-26,0:07:09
2019-08-27,0:17:20
2019-08-28,0:15:31
2019-08-29,0:26:14
2019-08-30,0:20:09
2019-08-31,0:27:41
2019-09-01,0:37:02
2019-09-02,0:08:14

